file,image_id,ext,bytes,format,mode,w_raw,h_raw,exif_orientation,exif_datetime,exif_make,exif_model,exif_software,has_exif,w,h,sharpness,brightness,contrast,dark_frac,blown_frac,phash,ok,mp,aspect,id_num,id_padded
000039.jpg,000039,.jpg,488344,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,154.63701275943055,142.67449442545572,38.18140769395963,0.0038960774739583335,0.0,90cd4a6e6a2b32af,True,12.192768,0.75,39,True
000040.jpg,000040,.jpg,660470,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,240.9224814424912,140.4400838216146,65.99201393698914,0.13135274251302084,0.0032552083333333335,805f53fd2130cf72,True,12.192768,0.75,40,True
000041.jpg,000041,.jpg,773214,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,400.1227533119575,136.14639790852866,72.12501682711907,0.15877787272135416,0.00177001953125,ca4b2db66e3a0d31,True,12.192768,0.75,41,True
000042.jpg,000042,.jpg,689321,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,344.8036910647061,143.86268615722656,68.76798710968565,0.11517842610677083,0.00067138671875,df107c1b626d2d0b,True,12.192768,0.75,42,True
000043.jpg,000043,.jpg,994781,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,873.8535119675929,136.65278116861978,71.45459010489385,0.12298583984375,0.0012156168619791667,db274b57b4692854,True,12.192768,0.75,43,True
000044.jpg,000044,.jpg,827654,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,163.27584305899737,134.96390787760416,63.97966236151811,0.032196044921875,9.1552734375e-05,c2902d3fd7303dcc,True,12.192768,0.75,44,True
000045.jpg,000045,.jpg,1266023,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,704.2904507747281,114.4865010579427,70.70740045824353,0.0951080322265625,0.021931966145833332,dbdf2c309d82700f,True,12.192768,0.75,45,True
000046.jpg,000046,.jpg,1158433,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,414.37232757853855,122.13432312011719,40.658807276089405,0.0021006266276041665,0.0029449462890625,b6f484ca32f159c3,True,12.192768,0.75,46,True
000047.png,000047,.png,11322943,PNG,RGB,1179,2556,1,2025:10:07 17:56:25,,,,True,1179,2556,2967.570851482149,129.46966863082628,79.72711154251547,0.11427436440677965,0.0013572563559322035,d5d52a7537617806,True,3.013524,0.4612676056338028,47,True
000048.jpg,000048,.jpg,676771,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,83.14742264211074,116.22538248697917,78.43591079544743,0.10212198893229167,0.011973063151041666,d80a7ada9e28c2f5,True,12.192768,0.75,48,True
000049.jpg,000049,.jpg,728043,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,483.47313361107905,84.84625244140625,68.04927090023898,0.2084197998046875,0.006627400716145833,d625780fe86d923c,True,12.192768,0.75,49,True
000050.jpg,000050,.jpg,1716585,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,5976.127385518178,131.81849161783853,62.44866213038654,0.044184366861979164,0.0008087158203125,d1837e72d23a3aa4,True,12.192768,0.75,50,True
000051.jpg,000051,.jpg,622379,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,338.8763193510628,136.42405700683594,55.58103658702509,0.0216522216796875,0.0008748372395833334,95c02f106eb7dc2e,True,12.192768,0.75,51,True
000052.png,000052,.png,11454438,PNG,RGB,1179,2556,1,2025:10:07 18:03:45,,,,True,1179,2556,913.5518206135702,105.1436374470339,66.47771372953856,0.13858083951271186,0.0,da8232361752df8d,True,3.013524,0.4612676056338028,52,True
000053.png,000053,.png,10055231,PNG,RGB,1179,2556,1,2025:10:07 18:04:06,,,,True,1179,2556,418.57043308185723,76.00501522775424,58.960812336889326,0.2431640625,0.0,b80758671ce5f52a,True,3.013524,0.4612676056338028,53,True
000054.jpg,000054,.jpg,1808780,MPO,RGB,4032,3024,6,2025:10:07 17:55:31,Apple,iPhone 15,18.6.2,True,3024,4032,222.811088282201,126.32652791341145,55.24882105890329,0.020253499348958332,0.00010172526041666667,ab933549b5425cf2,True,12.192768,0.75,54,True
000055.jpg,000055,.jpg,3847302,MPO,RGB,5712,4284,6,2025:10:07 17:56:06,Apple,iPhone 15,18.6.2,True,4284,5712,1995.0509048818049,119.914794921875,80.97430121022741,0.07330322265625,0.013031005859375,9e876154696a5e63,True,24.470208,0.75,55,True
000056.jpg,000056,.jpg,2152724,MPO,RGB,4032,3024,6,2025:10:07 17:56:28,Apple,iPhone 15,18.6.2,True,3024,4032,1497.9930648834495,117.85353088378906,70.10864680491201,0.113433837890625,0.0012868245442708333,d4393fd2562d8aa1,True,12.192768,0.75,56,True
000057.jpg,000057,.jpg,3778991,MPO,RGB,5712,4284,6,2025:10:07 17:56:54,Apple,iPhone 15,18.6.2,True,4284,5712,1884.526824221015,98.17092895507812,72.20488627663194,0.13149007161458334,0.0178680419921875,dd7b28d89261bc46,True,24.470208,0.75,57,True
000058.jpg,000058,.jpg,3933232,MPO,RGB,5712,4284,6,2025:10:07 17:57:07,Apple,iPhone 15,18.6.2,True,4284,5712,1313.552689003344,143.49331665039062,57.7006205250747,0.0251617431640625,0.00015767415364583334,c2c11d9ce39a26ed,True,24.470208,0.75,58,True
000059.jpg,000059,.jpg,2219254,MPO,RGB,4032,3024,6,2025:10:07 17:57:16,Apple,iPhone 15,18.6.2,True,3024,4032,1578.6415238597476,130.09343973795572,62.3904462371443,0.0574188232421875,0.0009053548177083334,c1c5528adf7f8036,True,12.192768,0.75,59,True
000060.jpg,000060,.jpg,1656715,MPO,RGB,4032,3024,6,2025:10:07 17:57:32,Apple,iPhone 15,18.6.2,True,3024,4032,135.85828111807092,125.59542846679688,74.44332407956941,0.1495513916015625,0.0003763834635416667,87157a3a5b21788f,True,12.192768,0.75,60,True
000061.jpg,000061,.jpg,2028354,MPO,RGB,4032,3024,6,2025:10:07 17:58:25,Apple,iPhone 15,18.6.2,True,3024,4032,968.7853937819342,111.24973551432292,72.5857014956544,0.17197672526041666,0.0024820963541666665,c52836998ff4e4ca,True,12.192768,0.75,61,True
000062.jpg,000062,.jpg,2003814,MPO,RGB,4032,3024,6,2025:10:07 17:58:28,Apple,iPhone 15,18.6.2,True,3024,4032,233.0902590205272,105.89951578776042,54.63793721504453,0.06816609700520833,2.5431315104166668e-05,d03a2f303d3a974b,True,12.192768,0.75,62,True
000063.jpg,000063,.jpg,1910136,MPO,RGB,4032,3024,6,2025:10:07 17:58:35,Apple,iPhone 15,18.6.2,True,3024,4032,293.2797749501963,123.54053751627605,46.98235985162254,0.0155792236328125,1.52587890625e-05,ff391bc9e0e01c0e,True,12.192768,0.75,63,True
000064.jpg,000064,.jpg,2198963,MPO,RGB,4032,3024,6,2025:10:07 17:59:14,Apple,iPhone 15,18.6.2,True,3024,4032,527.4501202211769,107.93763732910156,45.81660559583213,0.0157623291015625,0.00146484375,f6e46a93926124de,True,12.192768,0.75,64,True
